City_Name,State,Country_Name,City_Website,language,ai,ml,dl,nn,llm
Salzburg,Salzburg,Austria,https://www.stadt-salzburg.at/home,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Innsbruck,Salzburg,Austria,https://www.innsbruck.gv.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Klagenfurt am Wörthersee,Kärnten,Austria,https://www.klagenfurt.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Villach,Kärnten,Austria,https://villach.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Wels,Oberösterreich,Austria,https://www.wels.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Sankt Pölten,in Niederösterreich,Austria,https://www.st-poelten.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Dornbirn,Vorarlberg,Austria,https://www.dornbirn.at/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Vitebsk,VIC,Belarus,https://vitebsk.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Grodno,HRO,Belarus,http://grodno.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Mogilev,MAH,Belarus,https://mogilev.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Brest,BRE,Belarus,https://city-brest.gov.by/ru,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Babruysk,MAH,Belarus,https://bobruisk.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Baranavičy (Baranoviči) [Baranovichi],BRE,Belarus,https://baranovichi-gik.gov.by/ru,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Pinsk,BRE,Belarus,https://pinsk.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Mazyr (Mozyr'),HOM,Belarus,https://mozyrisp.gov.by/ru/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Lida,HRO,Belarus,https://lida.gov.by/ru,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Orsha,VIC,Belarus,https://orsha.vitebsk-region.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Soligorsk,MIN,Belarus,https://eng.soligorsk.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Navapolatsk,VIC,Belarus,https://novopolotsk.by/en/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Polotsk,VIC,Belarus,https://polotsk.vitebsk-region.gov.by/ru/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Zhlobin,HOM,Belarus,https://gisp.gov.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Rechytsa,HOM,Belarus,https://rechitsa.by/,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Kobrin,BRE,Belarus,https://kobrin.brest-region.gov.by/ru,Russian,искусственный интеллект,машинное обучение,глубокое обучение,нейронная сеть,большая языковая модель
Antwerpen (Anvers) [Antwerp],ANT,Belgium,https://www.antwerpen.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Gent (Gand) [Ghent],OVL,Belgium,https://stad.gent/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Charleroi,HAI,Belgium,https://www.charleroi.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Bruxelles (Brussel) [Brussels],BRC,Belgium,https://www.brussels.be/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Liège (Luik),LIE,Belgium,https://www.liege.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Schaerbeek (Schaarbeek),BRC,Belgium,https://www.1030.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Anderlecht,BRC,Belgium,https://www.anderlecht.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Brugge (Bruges),WVL,Belgium,https://www.brugge.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Namur (Namen),NAM,Belgium,https://www.namur.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Leuven (Louvain),BRV,Belgium,https://www.leuven.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Molenbeek-Saint-Jean (Sint-Jans-Molenbeek),BRC,Belgium,https://www.molenbeek.irisnet.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Mons (Bergen),HAI,Belgium,https://www.mons.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Aalst (Alost),OVL,Belgium,https://www.aalst.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Mechelen (Malines),ANT,Belgium,https://www.mechelen.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Ixelles (Elsene),BRC,Belgium,https://www.ixelles.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Uccle (Ukkel),BRC,Belgium,https://www.uccle.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Sint-Niklaas (Saint-Nicolas),OVL,Belgium,https://www.sint-niklaas.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
La Louvière,HAI,Belgium,https://www.lalouviere.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Hasselt,LIM,Belgium,https://www.hasselt.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Kortrijk (Courtrai),WVL,Belgium,https://www.kortrijk.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Oostende (Ostende) [Ostend],WVL,Belgium,https://www.oostende.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Tournai (Doornik),HAI,Belgium,https://www.tournai.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Genk,LIM,Belgium,https://www.genk.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Seraing,LIE,Belgium,https://www.seraing.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Woluwe-Saint-Lambert (Sint-Lambrechts-Woluwe),BRC,Belgium,https://www.woluwe1200.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Mouscron (Moeskroen),HAI,Belgium,https://www.mouscron.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Forest (Vorst),BRC,Belgium,https://www.forest.brussels/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Verviers,LIE,Belgium,https://www.verviers.be/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Beveren,OVL,Belgium,https://www.beveren.be/,Dutch,kunstmatige intelligentie,machinaal leren,diep leren,neuraal netwerk,groot taalmodel
Sarajevo,Sarajevo,Bosnia and Herzegovina,https://www.sarajevo.ba/,Bosnian,umjetna inteligencija,mašinsko učenje,duboko učenje,neuronska mreža,veliki jezički model
Banja Luka,Republika Srpska,Bosnia and Herzegovina,https://www.banjaluka.rs.ba/,Serbian,вештачка интелигенција,машинско учење,дубоко учење,неуронска мрежа,велики језички модел
Tuzla,Tuzlanski,Bosnia and Herzegovina,https://grad.tuzla.ba/,Bosnian,umjetna inteligencija,mašinsko učenje,duboko učenje,neuronska mreža,veliki jezički model
Zenica,Zeničko-Dobojski,Bosnia and Herzegovina,https://zenica.ba/,Bosnian,umjetna inteligencija,mašinsko učenje,duboko učenje,neuronska mreža,veliki jezički model
Mostar,Hercegovačko-Neretvanski,Bosnia and Herzegovina,https://www.mostar.ba/,Croatian,umjetna inteligencija,strojno učenje,duboko učenje,neuronska mreža,veliki jezični model
Sofija [Sofia],SFS,Bulgaria,https://www.sofia.bg/,Bulgarian,изкуствен интелект,машинно обучение,дълбоко обучение,невронна мрежа,голям езиков модел
Plovdiv,PLO,Bulgaria,https://www.plovdiv.bg/en/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Varna,VAR,Bulgaria,https://varna.bg/en/2,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Burgas,BUR,Bulgaria,https://www.burgas.bg/,Bulgarian,изкуствен интелект,машинно обучение,дълбоко обучение,невронна мрежа,голям езиков модел
Ruse [Rousse],RUS,Bulgaria,https://obshtinaruse.bg/en/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Stara Zagora,SZA,Bulgaria,https://www.starazagora.bg/en,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Pleven,PLE,Bulgaria,https://www.pleven.bg/en,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Sliven,SLI,Bulgaria,https://mun.sliven.bg/en/index,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Dobrič (Tolbuhin) [Dobrich],DOB,Bulgaria,https://www.dobrich.bg/en,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Šumen [Shumen],SUM,Bulgaria,https://www.shumen.bg/,Bulgarian,изкуствен интелект,машинно обучение,дълбоко обучение,невронна мрежа,голям езиков модел
Pernik,PER,Bulgaria,https://pernik.bg/,Bulgarian,изкуствен интелект,машинно обучение,дълбоко обучение,невронна мрежа,голям езиков модел
Haskovo [Khaskovo],HAS,Bulgaria,https://www.haskovo.bg/,Bulgarian,изкуствен интелект,машинно обучение,дълбоко обучение,невронна мрежа,голям езиков модел
Jambol [Yambol],JAM,Bulgaria,https://yambol.bg/,Bulgarian,изкуствен интелект,машинно обучение,дълбоко обучение,невронна мрежа,голям езиков модел
Veliko Tǎrnovo,VTA,Bulgaria,https://www.veliko-tarnovo.bg/,Bulgarian,изкуствен интелект,машинно обучение,дълбоко обучение,невронна мрежа,голям езиков модел
Pazardžik [Pazardzhik],PAZ,Bulgaria,https://www.pazardzhik.bg/en,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Zagreb,Grad Zagreb,Croatia,https://zagreb.hr/,Croatian,umjetna inteligencija,strojno učenje,duboko učenje,neuronska mreža,veliki jezični model
Split,Split - Dalmacija,Croatia,https://split.hr/,Croatian,umjetna inteligencija,strojno učenje,duboko učenje,neuronska mreža,veliki jezični model
Rijeka,Primorje - Gorski Kotar,Croatia,https://www.rijeka.hr,Croatian,umjetna inteligencija,strojno učenje,duboko učenje,neuronska mreža,veliki jezični model
Osijek,Osijek - Baranja,Croatia,https://www.osijek.hr/,Croatian,umjetna inteligencija,strojno učenje,duboko učenje,neuronska mreža,veliki jezični model
Zadar,Zadar,Croatia,https://www.grad-zadar.hr/,Croatian,umjetna inteligencija,strojno učenje,duboko učenje,neuronska mreža,veliki jezični model
Praha [Prague],PR,Czech,https://praha.eu/web/eng,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Brno,JM,Czech,https://en.brno.cz/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Ostrava,MO,Czech,https://www.ostrava.cz/en,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Plzeň [Pilsen],PL,Czech,https://plzen.eu/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Olomouc,OL,Czech,https://www.olomouc.eu/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Liberec,LI,Czech,https://www.liberec.cz/cz/obcan/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
České Budějovice [Budweis],JC,Czech,https://www.c-budejovice.cz/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Hradec Králové,KR,Czech,https://www.hradeckralove.org/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Ústí nad Labem,US,Czech,https://www.usti.cz/en/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Pardubice,PA,Czech,https://pardubice.eu/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Zlín (Gottwaldov),ZL,Czech,https://www.zlin.eu/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Havířov,MO,Czech,https://www.havirov-city.cz/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Kladno,ST,Czech,https://www.mestokladno.cz/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Most,US,Czech,https://www.mesto-most.cz/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Opava,MO,Czech,https://www.opava-city.cz/cz/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
Jihlava,VY,Czech,https://www.jihlava.cz/,Czech,umělá inteligence,strojové učení,hluboké učení,neuronová síť,velký jazykový model
København,HOV,Denmark,https://www.kk.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Aarhus,MJL,Denmark,https://www.aarhus.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Odense,SDM,Denmark,https://www.odense.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Aalborg,NJL,Denmark,https://www.aalborg.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Esbjerg,SDM,Denmark,https://www.esbjerg.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Randers,MJL,Denmark,https://www.randers.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Horsens,MJL,Denmark,https://horsens.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Kolding,SDM,Denmark,https://www.kolding.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Vejle,SDM,Denmark,https://www.vejle.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Roskilde,SJL,Denmark,https://www.roskilde.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Silkeborg,MJL,Denmark,https://www.silkeborg.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Herning,MJL,Denmark,https://www.herning.dk/,Danish,kunstig intelligens,maskinlæring,dyb læring,neuralt netværk,stor sprogmodel
Tallinn,HAR,Estonia,http://tallinn.ee,Estonian,tehisintellekt,masinõpe,süvaõpe,närvivõrk,suur keelemudel
Tartu,TAR,Estonia,http://tartu.ee,Estonian,tehisintellekt,masinõpe,süvaõpe,närvivõrk,suur keelemudel
Pärnu,PAER,Estonia,http://parnu.ee,Estonian,tehisintellekt,masinõpe,süvaõpe,närvivõrk,suur keelemudel
Helsinki,UUS,Finland,https://www.hel.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Espoo,UUS,Finland,https://www.espoo.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Tampere,PIR,Finland,https://www.tampere.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Vantaa,UUS,Finland,https://www.vantaa.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Oulu,PPO,Finland,https://www.ouka.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Turku,VSS,Finland,https://www.turku.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Jyväskylä,KSO,Finland,https://www.jyvaskyla.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Kuopio,PSA,Finland,https://www.kuopio.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Lahti,PHÄ,Finland,https://www.lahti.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Pori,SAT,Finland,https://www.pori.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Joensuu,PKA,Finland,https://www.joensuu.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Kouvola,KYM,Finland,https://www.kouvola.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Lappeenranta,EKA,Finland,https://www.lappeenranta.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Vaasa,POH,Finland,https://www.vaasa.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Hämeenlinna,KHÄ,Finland,https://www.hameenlinna.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Seinäjoki,EPO,Finland,https://www.seinajoki.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Rovaniemi,LAP,Finland,https://www.rovaniemi.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Porvoo,UUS,Finland,https://www.porvoo.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Mikkeli,ESA,Finland,https://www.mikkeli.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Salo,VSS,Finland,https://www.salo.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Kotka,KYM,Finland,https://www.kotka.fi/,Finnish,tekoäly,koneoppiminen,syväoppiminen,neuroverkko,suuri kielimalli
Paris,ILE,France,https://www.paris.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Marseille,PRO,France,https://www.marseille.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Lyon,ARA,France,https://www.lyon.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Toulouse,OCC,France,https://metropole.toulouse.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Nice,PRO,France,https://www.nice.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Nantes,PAY,France,https://metropole.nantes.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Montpellier,OCC,France,https://www.montpellier.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Strasbourg,GES,France,https://www.strasbourg.eu/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Bordeaux,NAQ,France,https://www.bordeaux.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Lille,HTF,France,https://www.lille.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Rennes,BRE,France,https://metropole.rennes.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Toulon,PRO,France,https://metropoletpm.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Reims,GES,France,https://www.reims.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Saint-Étienne,ARA,France,https://www.saint-etienne.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Le Havre,NMD,France,https://www.lehavre.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Villeurbanne,ARA,France,https://www.villeurbanne.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Dijon,BFC,France,https://www.dijon.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Angers,PAY,France,https://www.angers.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Grenoble,ARA,France,https://www.grenoble.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Nîmes,OCC,France,https://www.nimes.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Aix-en-Provence,PRO,France,https://www.aixenprovence.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Clermont-Ferrand,ARA,France,https://www.clermont-ferrand.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Le Mans,PAY,France,https://www.lemans.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Brest,BRE,France,https://www.brest.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Tours,CVL,France,https://www.tours.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Amiens,HTF,France,https://www.amiens.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Annecy,ARA,France,https://www.annecy.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Limoges,NAQ,France,https://www.limoges.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Metz,GES,France,https://www.metz.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Perpignan,OCC,France,https://www.perpignan.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Besançon,BFC,France,https://www.besancon.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Orléans,CVL,France,https://www.orleans.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Rouen,NMD,France,https://www.rouen.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Saint-Denis,ILE,France,https://www.saint-denis.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Montreuil,ILE,France,https://www.montreuil.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Caen,NMD,France,https://www.caen.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Argenteuil,ILE,France,https://www.argenteuil.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Mulhouse,GES,France,https://www.mulhouse.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Nancy,GES,France,https://www.nancy.fr/,French,intelligence artificielle,apprentissage automatique,apprentissage profond,réseau de neurones,grand modèle de langage
Berlin,Berlin,Germany,https://www.berlin.de/en/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Hamburg,Hamburg,Germany,https://www.hamburg.de/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
München,Bavaria,Germany,https://www.muenchen.de/en/home,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Köln,North Rhine-Westphalia,Germany,https://www.stadt-koeln.de/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Frankfurt am Main,Hesse,Germany,https://frankfurt.de/english,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Stuttgart,Baden-Württemberg,Germany,https://en.stuttgart.de/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Düsseldorf,North Rhine-Westphalia,Germany,https://www.duesseldorf.de/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
Leipzig,Saxony,Germany,https://english.leipzig.de/,English,artificial intelligence,machine learning,deep learning,neural network,large language model
Dortmund,North Rhine-Westphalia,Germany,https://www.dortmund.de/,German,künstliche Intelligenz,maschinelles Lernen,tiefes Lernen,neuronales Netz,großes Sprachmodell
